Date,Account ID,Name,Benchmark Name,Fund,Benchmark,Excess
12/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),-5.88,-5.8748,-0.0052
1/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),-2.61,-2.61962,0.00962
2/28/2003,A1VE,E2,S&P 500 INDEX (DAILY),-1.49,-1.5004,0.0104
3/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),0.97,0.97089,-0.00089
4/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),8.29,8.23705,0.05295
5/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.27,5.26872,0.00128
6/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.27,1.27568,-0.00568
7/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.77,1.76314,0.00686
8/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.96,1.95025,0.00975
9/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),-1.05,-1.06196,0.01196
10/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.62,5.657,-0.037
11/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),0.94,0.87981,0.06019
12/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.16,5.24446,-0.08446
1/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.88,1.8355,0.0445
2/29/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.38,1.38994,-0.00994
3/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),-1.51,-1.50862,-0.00138
4/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),-1.51,-1.56984,0.05984
5/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.35,1.37229,-0.02229
6/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.94,1.94449,-0.00449
7/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),-3.3,-3.30969,0.00969
8/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),0.39,0.40449,-0.01449
9/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.07,1.08306,-0.01306
10/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.53,1.52773,0.00227
11/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),4.05,4.04616,0.00384
12/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),3.4,3.40287,-0.00287
1/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-2.42,-2.4375,0.0175
2/28/2005,A1VE,E2,S&P 500 INDEX (DAILY),2.1,2.10442,-0.00442
3/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-1.77,-1.77082,0.00082
4/30/2005,A1VE,E2,S&P 500 INDEX (DAILY),-1.91,-1.89656,-0.01344
